x1,x2,x3
1.560943415950886370e+00,-2.079968212480991230e-01,1.500902391612914666e-01,0.000000000000000000e+00
1.687994034430464030e+00,-3.776158167323107051e-01,-2.352554556523251128e-01,0.000000000000000000e+00
1.525092464094761180e+00,-3.806807274857791634e-02,4.698469162417098083e-02,0.000000000000000000e+00
1.328321147966799565e+00,2.136452731773366143e-01,2.310358611116051231e-01,0.000000000000000000e+00
1.511303974972248554e+00,2.757931645186353364e-01,1.940640289304170207e-01,0.000000000000000000e+00
1.325169728745215103e+00,1.366663429193859525e-01,-6.619344526718778932e-02,0.000000000000000000e+00
1.671411320910655807e+00,6.549229182856486364e-02,1.135518774249612145e-01,0.000000000000000000e+00
1.357991251773481789e+00,3.325350630975911770e-01,1.444642731284539738e-01,0.000000000000000000e+00
1.406730601713983564e+00,3.013545038236198348e-02,3.065666141237143316e-01,0.000000000000000000e+00
1.563467372367027819e+00,1.956281042755845800e-01,3.108766875635586291e-01,0.000000000000000000e+00
1.916454180752893199e+00,4.430007162168889123e-02,1.467291484629447140e-01,0.000000000000000000e+00
1.322880281095493826e+00,2.612605417709539246e-01,4.992793427600706879e-01,0.000000000000000000e+00
1.460119961213071971e+00,-1.750694525849227912e-02,1.327223991042628115e-01,0.000000000000000000e+00
1.610067528235450407e+00,3.116110123501441564e-01,4.301945174655349424e-01,0.000000000000000000e+00
1.343651908436736431e+00,2.218024341555583645e-01,3.686419258656282172e-01,0.000000000000000000e+00
1.517062316332584260e+00,3.620381124782177107e-01,4.135459971498498533e-01,0.000000000000000000e+00
1.605444468253158341e+00,2.136205909108228329e-01,4.499389969335935713e-01,0.000000000000000000e+00
1.592023551743835252e+00,-7.900569247158337194e-02,3.512204418117385041e-01,0.000000000000000000e+00
1.367563136608163754e+00,9.693691731331369188e-02,3.829025301463404030e-01,0.000000000000000000e+00
1.756265955069653106e+00,6.379765221522412655e-02,6.540852303290096703e-01,0.000000000000000000e+00
1.116112719573867818e+00,1.822006882800971950e-01,5.151867675662706869e-01,0.000000000000000000e+00
1.565109804845037367e+00,4.035973232491776308e-01,6.632061304034448934e-01,0.000000000000000000e+00
1.373069436800782528e+00,1.810145256829789051e-01,6.977124337784321728e-01,0.000000000000000000e+00
1.399273947746159763e+00,3.043713677697101883e-02,3.207067487978826348e-01,0.000000000000000000e+00
1.248136802849876492e+00,3.970507910532635187e-01,5.967491589346503034e-01,0.000000000000000000e+00
1.564389737242828149e+00,2.241651677867237402e-01,6.205114023747453356e-01,0.000000000000000000e+00
1.545450019845070688e+00,2.596943558604483115e-01,7.003245712222889718e-01,0.000000000000000000e+00
1.281760840747836916e+00,2.608498788889463960e-01,5.524018231598269990e-01,0.000000000000000000e+00
1.168567981786396981e+00,4.426992601945989314e-01,5.542500873486113644e-01,0.000000000000000000e+00
1.403601426919257156e+00,4.532434652653538620e-01,7.564069285429717571e-01,0.000000000000000000e+00
1.527324179242907531e+00,3.491297904930287244e-01,6.009881233790103083e-01,0.000000000000000000e+00
1.371227018444353130e+00,4.303427880710231079e-02,4.143375765185605686e-01,0.000000000000000000e+00
1.115334312178798637e+00,1.926657516753003674e-01,8.013809083244782805e-01,0.000000000000000000e+00
1.191263225261284253e+00,3.280343900422306724e-01,9.984802182909511270e-01,0.000000000000000000e+00
1.293373462962296605e+00,5.626577987766160360e-01,5.686511094027947300e-01,0.000000000000000000e+00
1.315589611594488728e+00,2.365722375805015820e-01,7.038290919966683212e-01,0.000000000000000000e+00
1.516574522101562295e+00,9.246689575320737875e-02,8.742921607190543565e-01,0.000000000000000000e+00
1.387681986365923104e+00,3.303858892569976335e-01,5.134682473021523474e-01,0.000000000000000000e+00
1.345970266874596533e+00,3.545310175979530243e-01,8.639784228916730369e-01,0.000000000000000000e+00
1.327113183993869461e+00,7.919260178247298221e-01,7.838170315721532111e-01,0.000000000000000000e+00
1.109031931499643742e+00,5.184912815365327887e-01,8.894050507837522046e-01,0.000000000000000000e+00
1.576349334486093934e+00,6.606477991008635753e-01,9.299613641559668631e-01,0.000000000000000000e+00
1.587745963099424618e+00,2.667840724988895795e-01,7.432738064467037109e-01,0.000000000000000000e+00
1.100138432510728403e+00,4.374058643435769778e-01,6.079713526932439827e-01,0.000000000000000000e+00
1.402648243679140760e+00,4.816727181072467667e-01,6.006716376178685701e-01,0.000000000000000000e+00
1.062464428568451913e+00,5.994860462401259138e-01,1.073415061311233210e+00,0.000000000000000000e+00
1.654687962057109107e+00,1.130136684800044700e+00,9.990540741553758375e-01,0.000000000000000000e+00
1.046996670294409570e+00,1.314490683736911358e-01,9.795159242105392350e-01,0.000000000000000000e+00
1.071681212307108222e+00,4.851925596846002331e-01,8.127685050065354133e-01,0.000000000000000000e+00
1.195280703746376849e+00,7.917756495868266686e-01,9.752187569638971487e-01,0.000000000000000000e+00
1.180687393005502628e+00,3.816727135942400984e-01,6.168951116030247928e-01,0.000000000000000000e+00
1.103936035589324183e+00,5.881774628038545227e-01,1.312836731130495593e+00,0.000000000000000000e+00
1.215845334656464605e+00,8.055174259154181948e-01,8.662023625497083934e-01,0.000000000000000000e+00
9.412058545574824020e-01,4.258851728550913096e-01,8.272143701022629525e-01,0.000000000000000000e+00
1.592105934789217248e+00,4.644720661146155560e-01,1.145538960858444089e+00,0.000000000000000000e+00
9.738590042053238971e-01,8.248051960363640411e-01,1.059792747222187081e+00,0.000000000000000000e+00
1.110966280267437378e+00,6.399780501620693229e-01,8.561831992730346563e-01,0.000000000000000000e+00
1.219176614942873327e+00,5.666710633052390866e-01,7.457317693484495358e-01,0.000000000000000000e+00
8.618638246296408401e-01,7.016182768814068771e-01,1.309755002410750269e+00,0.000000000000000000e+00
1.136761660587056078e+00,6.527001965121982385e-01,1.053555497732929780e+00,0.000000000000000000e+00
1.353100529745104419e+00,7.295242860606122592e-01,9.160264760743406232e-01,0.000000000000000000e+00
1.300121651490474761e+00,7.805102914162433958e-01,1.306551751603164835e+00,0.000000000000000000e+00
1.102303476378454272e+00,4.588662646590779826e-01,7.263235690751974616e-01,0.000000000000000000e+00
1.382465900173075468e+00,1.057382704706887333e+00,9.639722948809171799e-01,0.000000000000000000e+00
9.620997403728529518e-01,1.013714921428231275e+00,7.777536529049663416e-01,0.000000000000000000e+00
8.460840049565849785e-01,8.587535457579544840e-01,9.188947920547098080e-01,0.000000000000000000e+00
1.010134726130191396e+00,7.059459790288354908e-01,1.063350983426098351e+00,0.000000000000000000e+00
1.278624848112151824e+00,7.651808051152682033e-01,1.122012574552746056e+00,0.000000000000000000e+00
